code	occupation	gender	conversations	birth-region	age-range	study-level
BOI080	5-Service-Workers	M	PBA017	friuli-venezia-giulia	21-25	liceo-diploma
BOI081	7-Plant-Operators	M	PBA017	veneto	21-25	middle-school
BOI082	7-Plant-Operators	M	PBA018	campania	21-25	liceo-diploma
BOI083	0-Unemployed	M	PBA019	lazio	21-25	technical-vocational-diploma
BOI084	4-Clerical-Workers	M	PBA019	lazio	21-25	technical-vocational-diploma
BOI085	4-Clerical-Workers	M	PBB021	emilia-romagna	36-40	middle-school
BOI086	6-Craft-Workers	F	PBB022	emilia-romagna	56-60	technical-vocational-diploma
BOI087	4-Clerical-Workers	M	PBB023	emilia-romagna	51-55	technical-vocational-diploma
BOI088	4-Clerical-Workers	F	PBB023	emilia-romagna	51-55	middle-school
BOI089	5-Service-Workers	M	PBA020	estero	21-25	technical-vocational-diploma
BOI090	0-Students	F	PBA021	emilia-romagna	21-25	university-degree-ongoing
BOI091	4-Clerical-Workers	F	PBB024	emilia-romagna	46-50	technical-vocational-diploma
BOI092	6-Craft-Workers	F	PBB025	emilia-romagna	51-55	middle-school
BOI093	3-Technicians	F	PBB026	emilia-romagna	51-55	technical-vocational-diploma
BOI094	3-Technicians	M	PBB026	emilia-romagna	56-60	technical-vocational-diploma
BOI096	0-Students	F	PBA025	emilia-romagna	16-20	middle-school
BOI097	4-Clerical-Workers	M	PBB027	emilia-romagna	31-35	university-degree
BOI098	6-Craft-Workers	M	PBB027	emilia-romagna	31-35	technical-vocational-diploma
BOI099	6-Craft-Workers	M	PBB028	emilia-romagna	31-35	technical-vocational-diploma
BOI100	6-Craft-Workers	M	PBB028	emilia-romagna	31-35	technical-vocational-diploma
BOI101	3-Technicians	M	PBB029	emilia-romagna	31-35	liceo-diploma
BOI102	2-Professionals	F	PBB030	emilia-romagna	31-35	university-degree
BOI103	0-Retired	F	PBC024	emilia-romagna	over 85	middle-school
BOI104	0-Retired	F	PBC024	emilia-romagna	66-70	university-degree
BOI105	3-Technicians	M	PBA026	emilia-romagna	16-20	technical-vocational-diploma
BOI106	3-Technicians	M	PBA027	emilia-romagna	26-30	technical-vocational-diploma
BOI107	3-Technicians	F	PBA027	emilia-romagna	26-30	university-degree
BOI108	5-Service-Workers	F	PBB031	emilia-romagna	56-60	university-degree
